img_nr,iso,ss,exp,r_avg,g_avg,b_avg
336,100,16758,16664,4619.03,4432.90,4618.38
337,100,16815,16721,4620.76,4433.43,4619.38
338,100,16853,16758,4621.30,4433.84,4620.79
339,100,16910,16815,4624.21,4435.58,4622.40
340,100,16966,16872,4625.65,4436.88,4624.96
341,100,17004,16910,4627.06,4437.31,4625.23
342,100,17061,16966,4627.56,4438.07,4626.20
343,100,17118,17023,4629.62,4439.14,4628.62
344,100,17155,17061,4630.88,4440.27,4629.47
345,100,17212,17118,4631.61,4440.43,4630.53
346,100,17269,17174,4634.81,4442.42,4633.38
347,100,17307,17212,4634.53,4442.33,4633.25
348,100,17363,17269,4636.67,4443.91,4635.65
349,100,17401,17307,4638.15,4444.70,4636.68
350,100,17458,17363,4640.27,4446.21,4638.88
351,100,17515,17420,4641.93,4447.33,4640.41
352,100,17552,17458,4643.19,4447.58,4641.60
353,100,17609,17515,4644.40,4448.83,4643.00
354,100,17666,17571,4645.45,4449.34,4643.87
355,100,17704,17609,4646.97,4450.24,4645.33
356,100,17760,17666,4649.03,4451.62,4647.26
357,100,17817,17722,4649.69,4452.52,4648.61
358,100,17855,17760,4651.97,4453.63,4650.86
359,100,17911,17817,4653.47,4454.57,4652.36
360,100,17968,17874,4654.94,4455.09,4653.35
361,100,18006,17911,4655.32,4455.97,4654.14
362,100,18063,17968,4656.55,4456.67,4655.67
363,100,18119,18025,4658.14,4457.81,4657.47
364,100,18157,18063,4660.13,4459.24,4658.74
365,100,18214,18119,4661.88,4460.44,4660.76
366,100,18252,18157,4664.63,4461.59,4663.53
367,100,18308,18214,4665.81,4462.89,4664.73
368,100,18365,18271,4666.82,4463.40,4666.03
369,100,18403,18308,4666.67,4463.59,4665.99
370,100,18460,18365,4667.67,4463.92,4666.92
371,100,18516,18422,4671.11,4465.89,4669.63
372,100,18554,18460,4673.32,4467.68,4672.79
373,100,18611,18516,4673.93,4468.10,4673.60
374,100,18668,18573,4676.37,4469.29,4675.22
375,100,18705,18611,4677.81,4470.51,4676.99
376,100,18762,18668,4680.63,4471.79,4679.89
377,100,18819,18724,4682.51,4473.17,4681.28
378,100,18857,18762,4682.93,4473.59,4682.20
379,100,18913,18895,4684.87,4474.92,4683.83
380,100,18970,18895,4685.61,4475.54,4685.37
381,100,19008,18913,4674.84,4468.52,4673.57
382,100,19065,18970,4687.87,4477.43,4687.78
383,100,19102,19008,4687.73,4476.27,4687.49
384,100,19159,19065,4689.68,4478.04,4689.32
385,100,19216,19121,4690.02,4478.04,4689.01
386,100,19254,19159,4691.48,4479.43,4691.21
387,100,19310,19216,4692.60,4480.55,4692.76
388,100,19367,19273,4693.18,4480.29,4692.39
389,100,19405,19310,4694.65,4480.92,4693.76
390,100,19462,19367,4695.78,4482.04,4695.81
391,100,19518,19424,4697.23,4483.09,4696.42
392,100,19556,19462,4695.95,4482.39,4695.83
393,100,19613,19518,4697.05,4482.68,4696.44
394,100,19670,19575,4698.16,4483.58,4698.03
395,100,19707,19613,4699.99,4484.81,4700.67
396,100,19764,19670,4702.13,4486.11,4701.60
397,100,19821,19726,4702.00,4486.47,4702.37
398,100,19859,19764,4703.56,4487.32,4703.37
399,100,19915,19821,4706.79,4488.95,4706.35
400,100,19953,19859,4707.62,4489.96,4707.36
401,100,20010,19915,4709.32,4490.46,4708.77
402,100,20067,19972,4709.54,4491.30,4709.89
403,100,20104,20010,4712.08,4491.85,4711.74
404,100,20161,20067,4713.43,4493.40,4713.64
405,100,20218,20123,4715.11,4494.67,4715.65
406,100,20256,20161,4715.58,4494.78,4715.39
407,100,20312,20218,4717.19,4495.60,4717.16
408,100,20369,20274,4718.86,4496.88,4718.71
409,100,20407,20312,4719.65,4497.47,4719.85
410,100,20464,20369,4721.77,4498.65,4722.15
411,100,20520,20426,4723.80,4500.03,4724.08
412,100,20558,20464,4724.60,4500.77,4725.30
413,100,20615,20520,4726.84,4501.80,4727.33
414,100,20671,20577,4728.47,4503.25,4728.58
415,100,20709,20615,4729.69,4503.81,4729.94
416,100,20766,20671,4729.88,4504.01,4730.62
417,100,20804,20709,4732.24,4505.56,4732.23
